"metric","n","tau","net","model","bparam","varyv","varys"
"d",1,0.73932972972973,"ba","doublewell","D","FALSE","FALSE"
"input",1,0.749809009009009,"ba","doublewell","D","FALSE","FALSE"
"d",2,0.766414414414414,"ba","doublewell","D","FALSE","FALSE"
"input",2,0.778969369369369,"ba","doublewell","D","FALSE","FALSE"
"d",3,0.758486486486487,"ba","doublewell","D","FALSE","FALSE"
"input",3,0.786061261261261,"ba","doublewell","D","FALSE","FALSE"
"d",4,0.76123963963964,"ba","doublewell","D","FALSE","FALSE"
"input",4,0.797218018018018,"ba","doublewell","D","FALSE","FALSE"
"d",5,0.748756756756757,"ba","doublewell","D","FALSE","FALSE"
"input",5,0.80307027027027,"ba","doublewell","D","FALSE","FALSE"
"d",6,0.822212612612613,"ba","doublewell","D","FALSE","FALSE"
"input",6,0.822212612612613,"ba","doublewell","D","FALSE","FALSE"
"d",1,0.736637202459987,"ba","doublewell","D","TRUE","FALSE"
"input",1,0.753034476072451,"ba","doublewell","D","TRUE","FALSE"
"d",2,0.756602553564579,"ba","doublewell","D","TRUE","FALSE"
"input",2,0.782263137706176,"ba","doublewell","D","TRUE","FALSE"
"d",3,0.756438835426177,"ba","doublewell","D","TRUE","FALSE"
"input",3,0.792557990532674,"ba","doublewell","D","TRUE","FALSE"
"d",4,0.761047054211611,"ba","doublewell","D","TRUE","FALSE"
"input",4,0.807924227671063,"ba","doublewell","D","TRUE","FALSE"
"d",5,0.768627996476098,"ba","doublewell","D","TRUE","FALSE"
"input",5,0.812615738691688,"ba","doublewell","D","TRUE","FALSE"
"d",6,0.830649013433824,"ba","doublewell","D","TRUE","FALSE"
"input",6,0.830649013433824,"ba","doublewell","D","TRUE","FALSE"
"d",1,0.744654333008763,"ba","doublewell","D","TRUE","TRUE"
"input",1,0.748691983122363,"ba","doublewell","D","TRUE","TRUE"
"d",2,0.730048685491723,"ba","doublewell","D","TRUE","TRUE"
"input",2,0.714677052904901,"ba","doublewell","D","TRUE","TRUE"
"d",3,0.731723466407011,"ba","doublewell","D","TRUE","TRUE"
"input",3,0.722583576760792,"ba","doublewell","D","TRUE","TRUE"
"d",4,0.714884777669588,"ba","doublewell","D","TRUE","TRUE"
"input",4,0.756364816617981,"ba","doublewell","D","TRUE","TRUE"
"d",5,0.718649789029536,"ba","doublewell","D","TRUE","TRUE"
"input",5,0.71809152872444,"ba","doublewell","D","TRUE","TRUE"
"d",6,0.776254462836741,"ba","doublewell","D","TRUE","TRUE"
"input",6,0.776254462836741,"ba","doublewell","D","TRUE","TRUE"
"d",1,0.713909818134326,"ba","doublewell","u","FALSE","FALSE"
"input",1,0.756617668506002,"ba","doublewell","u","FALSE","FALSE"
"d",2,0.779312153764108,"ba","doublewell","u","FALSE","FALSE"
"input",2,0.806378558497767,"ba","doublewell","u","FALSE","FALSE"
"d",3,0.809296673595919,"ba","doublewell","u","FALSE","FALSE"
"input",3,0.828606621608385,"ba","doublewell","u","FALSE","FALSE"
"d",4,0.826413222900636,"ba","doublewell","u","FALSE","FALSE"
"input",4,0.846067921187913,"ba","doublewell","u","FALSE","FALSE"
"d",5,0.839565452414899,"ba","doublewell","u","FALSE","FALSE"
"input",5,0.858450597330605,"ba","doublewell","u","FALSE","FALSE"
"d",6,0.945611160087504,"ba","doublewell","u","FALSE","FALSE"
"input",6,0.945611160087504,"ba","doublewell","u","FALSE","FALSE"
"d",1,0.736975040403403,"ba","doublewell","u","TRUE","FALSE"
"input",1,0.761528956523235,"ba","doublewell","u","TRUE","FALSE"
"d",2,0.796778073300334,"ba","doublewell","u","TRUE","FALSE"
"input",2,0.813550131483419,"ba","doublewell","u","TRUE","FALSE"
"d",3,0.824627156930122,"ba","doublewell","u","TRUE","FALSE"
"input",3,0.848558012843354,"ba","doublewell","u","TRUE","FALSE"
"d",4,0.845212024009137,"ba","doublewell","u","TRUE","FALSE"
"input",4,0.86483264840725,"ba","doublewell","u","TRUE","FALSE"
"d",5,0.858599591692858,"ba","doublewell","u","TRUE","FALSE"
"input",5,0.878346962229269,"ba","doublewell","u","TRUE","FALSE"
"d",6,0.952187356567577,"ba","doublewell","u","TRUE","FALSE"
"input",6,0.952187356567577,"ba","doublewell","u","TRUE","FALSE"
"d",1,0.737262512768131,"ba","doublewell","u","TRUE","TRUE"
"input",1,0.758692543411645,"ba","doublewell","u","TRUE","TRUE"
"d",2,0.78976506639428,"ba","doublewell","u","TRUE","TRUE"
"input",2,0.773493360572012,"ba","doublewell","u","TRUE","TRUE"
"d",3,0.81829417773238,"ba","doublewell","u","TRUE","TRUE"
"input",3,0.825750766087845,"ba","doublewell","u","TRUE","TRUE"
"d",4,0.83367722165475,"ba","doublewell","u","TRUE","TRUE"
"input",4,0.830806945863126,"ba","doublewell","u","TRUE","TRUE"
"d",5,0.84899897854954,"ba","doublewell","u","TRUE","TRUE"
"input",5,0.853758937691522,"ba","doublewell","u","TRUE","TRUE"
"d",6,0.936945863125639,"ba","doublewell","u","TRUE","TRUE"
"input",6,0.936945863125639,"ba","doublewell","u","TRUE","TRUE"
"d",1,-0.314110275689223,"ba","genereg","D","FALSE","FALSE"
"input",1,-0.208395989974937,"ba","genereg","D","FALSE","FALSE"
"d",2,-0.39516290726817,"ba","genereg","D","FALSE","FALSE"
"input",2,-0.33218045112782,"ba","genereg","D","FALSE","FALSE"
"d",3,-0.418671679197995,"ba","genereg","D","FALSE","FALSE"
"input",3,-0.366541353383459,"ba","genereg","D","FALSE","FALSE"
"d",4,-0.455664160401002,"ba","genereg","D","FALSE","FALSE"
"input",4,-0.419473684210526,"ba","genereg","D","FALSE","FALSE"
"d",5,-0.467869674185464,"ba","genereg","D","FALSE","FALSE"
"input",5,-0.467593984962406,"ba","genereg","D","FALSE","FALSE"
"d",6,-0.682932330827068,"ba","genereg","D","FALSE","FALSE"
"input",6,-0.682932330827068,"ba","genereg","D","FALSE","FALSE"
"d",1,-0.217416545718432,"ba","genereg","D","TRUE","FALSE"
"input",1,-0.199564586357039,"ba","genereg","D","TRUE","FALSE"
"d",2,-0.303686502177068,"ba","genereg","D","TRUE","FALSE"
"input",2,-0.343047895500726,"ba","genereg","D","TRUE","FALSE"
"d",3,-0.348301886792453,"ba","genereg","D","TRUE","FALSE"
"input",3,-0.374949201741655,"ba","genereg","D","TRUE","FALSE"
"d",4,-0.35799709724238,"ba","genereg","D","TRUE","FALSE"
"input",4,-0.410798258345428,"ba","genereg","D","TRUE","FALSE"
"d",5,-0.405486211901306,"ba","genereg","D","TRUE","FALSE"
"input",5,-0.407953555878084,"ba","genereg","D","TRUE","FALSE"
"d",6,-0.623454281567489,"ba","genereg","D","TRUE","FALSE"
"input",6,-0.623454281567489,"ba","genereg","D","TRUE","FALSE"
"d",1,-0.709433962264151,"ba","genereg","D","TRUE","TRUE"
"input",1,-0.346850507982583,"ba","genereg","D","TRUE","TRUE"
"d",2,-0.775471698113207,"ba","genereg","D","TRUE","TRUE"
"input",2,-0.457126269956459,"ba","genereg","D","TRUE","TRUE"
"d",3,-0.762380261248186,"ba","genereg","D","TRUE","TRUE"
"input",3,-0.466386066763425,"ba","genereg","D","TRUE","TRUE"
"d",4,-0.726153846153846,"ba","genereg","D","TRUE","TRUE"
"input",4,-0.483193033381713,"ba","genereg","D","TRUE","TRUE"
"d",5,-0.684760522496371,"ba","genereg","D","TRUE","TRUE"
"input",5,-0.46911465892598,"ba","genereg","D","TRUE","TRUE"
"d",6,-0.538955007256894,"ba","genereg","D","TRUE","TRUE"
"input",6,-0.538955007256894,"ba","genereg","D","TRUE","TRUE"
"d",1,-0.427765432098765,"ba","genereg","u","FALSE","FALSE"
"input",1,-0.334592592592593,"ba","genereg","u","FALSE","FALSE"
"d",2,-0.503716049382716,"ba","genereg","u","FALSE","FALSE"
"input",2,-0.435518518518518,"ba","genereg","u","FALSE","FALSE"
"d",3,-0.537728395061728,"ba","genereg","u","FALSE","FALSE"
"input",3,-0.481333333333333,"ba","genereg","u","FALSE","FALSE"
"d",4,-0.548617283950617,"ba","genereg","u","FALSE","FALSE"
"input",4,-0.538493827160494,"ba","genereg","u","FALSE","FALSE"
"d",5,-0.584061728395062,"ba","genereg","u","FALSE","FALSE"
"input",5,-0.572827160493827,"ba","genereg","u","FALSE","FALSE"
"d",6,-0.700629629629629,"ba","genereg","u","FALSE","FALSE"
"input",6,-0.700629629629629,"ba","genereg","u","FALSE","FALSE"
"d",1,-0.360115315315315,"ba","genereg","u","TRUE","FALSE"
"input",1,-0.368547747747748,"ba","genereg","u","TRUE","FALSE"
"d",2,-0.445679279279279,"ba","genereg","u","TRUE","FALSE"
"input",2,-0.411243243243243,"ba","genereg","u","TRUE","FALSE"
"d",3,-0.472446846846847,"ba","genereg","u","TRUE","FALSE"
"input",3,-0.501145945945946,"ba","genereg","u","TRUE","FALSE"
"d",4,-0.480115315315315,"ba","genereg","u","TRUE","FALSE"
"input",4,-0.502010810810811,"ba","genereg","u","TRUE","FALSE"
"d",5,-0.499113513513514,"ba","genereg","u","TRUE","FALSE"
"input",5,-0.51285045045045,"ba","genereg","u","TRUE","FALSE"
"d",6,-0.640389189189189,"ba","genereg","u","TRUE","FALSE"
"input",6,-0.640389189189189,"ba","genereg","u","TRUE","FALSE"
"d",1,-0.728302702702703,"ba","genereg","u","TRUE","TRUE"
"input",1,-0.507488288288288,"ba","genereg","u","TRUE","TRUE"
"d",2,-0.8048,"ba","genereg","u","TRUE","TRUE"
"input",2,-0.430688288288288,"ba","genereg","u","TRUE","TRUE"
"d",3,-0.801902702702703,"ba","genereg","u","TRUE","TRUE"
"input",3,-0.5088,"ba","genereg","u","TRUE","TRUE"
"d",4,-0.775264864864865,"ba","genereg","u","TRUE","TRUE"
"input",4,-0.514205405405405,"ba","genereg","u","TRUE","TRUE"
"d",5,-0.738248648648649,"ba","genereg","u","TRUE","TRUE"
